"Payment by credit card is made on a banking secure platform","Le paiement par carte bancaire est effectué sur une plateforme bancaire sécurisée"
"Your credit card payment has been successfully registered.","Votre paiement par carte bancaire a été enregistré avec succès."
"The status of transaction %s is: %s","Le statut de la transaction %s est : %s"
"The total amount of your order is","Le montant total de la commande est de"
"Cart Payment","Paiement du panier"
"The payment was declined by the payment gateway. Please try again or choose another payment method.","Le paiement a été refusé par la passerelle de paiement. Merci de renouveler l'opération ou de choisir une autre méthode de paiement."
"The payment has been canceled. Please try again or choose another payment method.","Le paiement a été annulé. Merci de renouveler l'opération ou de choisir une autre méthode de paiement."
"Payment Complete","Payment terminé"
